C3mCall,r,date,time,address,X,Y
2816,Code3Med,2011-02-06,19:41:38,1700NWDIVISION                                         STCORVALLIS      ,7484819.946,342301.5788
2817,Code3Med,2011-02-06,20:25:21,0SW1ST                                              AVECORVALLIS      ,7477050.199,296492.1932
2818,Code3Med,2011-02-06,21:45:20,3600NWSAMARITAN                                        DRCORVALLIS      ,7481660.396,358413.7116
2819,Code3Med,2011-02-06,22:04:10,200NECONIFER                                          BLVDCORVALLIS      ,7499440.372,345902.123
2820,Code3Med,2011-02-06,22:13:15,3600NWSAMARITAN                                        DRCORVALLIS      ,7460423.411,345999.9708
2821,Code3Med,2011-02-06,22:35:39,200NECONIFER                                          BLVDCORVALLIS      ,7496673.551,325003.1098
2822,Code3Med,2011-02-06,22:54:58,2600SERYAN                                             STCORVALLIS      ,7481324.763,366800.4228
2823,Code3Med,2011-02-06,22:57:18,300NECONIFER                                          BLVDCORVALLIS      ,7476899.978,314419.2868
2824,Code3Med,2011-02-06,23:12:18,1700NWDIVISION                                         STCORVALLIS      ,7483356.714,330605.8927
2825,Code3Med,2011-02-06,23:41:44,32800OAKVILLE                                         RDAlbany,7496062.331,375734.0981
2826,Code3Med,2011-02-06,23:47:01,200NW5TH                                              STCORVALLIS      ,7499891.652,320995.2774
2827,Code3Med,2011-02-06,23:47:18,5200SWPHILOMATH                                        BLVDCORVALLIS      ,7508434.234,323189.9867
2828,MVA,2011-02-07,00:00:44,3600NWSAMARITAN                                        DRCORVALLIS      ,7523194.119,356501.0681
2829,Code3Med,2011-02-07,00:14:23,100N 2ND                                              STALSEA          ,7498919.196,339447.6621
2830,Code3Med,2011-02-07,00:23:15,5200SWPHILOMATH                                        BLVDCORVALLIS      ,7513204.269,313983.6061
2831,Code3Med,2011-02-07,00:31:36,1900NWHIGHLAND                                         DRCORVALLIS      ,7473177.942,328288.7778
2832,Code3Med,2011-02-07,00:36:48,0SWJEFFERSON                                        STOSU            ,7480530.606,331308.7931
2833,Code3Med,2011-02-07,01:21:55,700SW26TH                                             STOSU            ,7505904.608,351404.1231
2834,Code3Med,2011-02-07,01:47:18,5200SWPHILOMATH                                        BLVDCORVALLIS      ,7490193.388,367949.3696
2835,Code3Med,2011-02-07,02:34:51,400NWELKS                                             DRCORVALLIS      ,7511812.928,344181.3172
2836,Code3Med,2011-02-07,03:11:39,6800NWCONCORD                                          DRCorvallis,7498556.671,302166.4782
2837,Code3Med,2011-02-07,03:46:21,100NECONIFER                                          BLVDCORVALLIS      ,7499382.568,334471.2296
2838,MVA,2011-02-07,04:17:04,1300NW9TH                                              STCORVALLIS      ,7516012.395,353671.1696
2839,Code3Med,2011-02-07,04:22:05,2400ApplegateSTPhilomath,7500703.651,352589.8258
2840,Code3Med,2011-02-07,04:43:06,1000NWCIRCLE                                           BLVDCORVALLIS      ,7493120.082,327479.6961
2841,Code3Med,2011-02-07,04:58:53,27600Reese CreekRDMonroe,7513289.034,336226.8802
2842,Code3Med,2011-02-07,05:24:58,100NECONIFER                                          BLVDCORVALLIS      ,7487652.998,341652.2727
2843,Code3Med,2011-02-07,05:25:48,4700SWHOLLYHOCK                                        CIRCORVALLIS      ,7509458.089,330989.2098
2844,Code3Med,2011-02-07,05:27:53,29400Beaver CreekRDPhilomath,7489402.571,349703.5609
2845,Code3Med,2011-02-07,05:35:50,2900SWJEFFERSON                                        WAYOSU            ,7502403.27,326442.8589
2846,Code3Med,2011-02-07,06:24:30,5200SWPHILOMATH                                        BLVDCORVALLIS      ,7501426.358,340822.9419
2847,Code3Med,2011-02-07,06:29:20,3300NELANCASTER                                        STCORVALLIS      ,7495775.127,356324.3274
2848,Code3Med,2011-02-07,06:44:11,800NE2ND                                              STCORVALLIS      ,7508420.113,355151.8084
2849,Code3Med,2011-02-07,06:48:41,2900NW29TH                                             STCORVALLIS      ,7485711.015,321106.1177
2850,Code3Med,2011-02-07,06:53:08,300NW23rdSTCorvallis,7489229.873,356859.1958
2851,Code3Med,2011-02-07,07:50:32,1400SWAllenSTCorvallis,7499611.137,335389.0954
2852,Code3Med,2011-02-07,08:09:57,0NEConiferBLVDCorvallis,7461306.244,368764.9674
2853,Code3Med,2011-02-07,08:22:11,5900NWBURGUNDY                                         DRCorvallis,7478858.199,324621.0651
2854,Code3Med,2011-02-07,08:33:50,0NWClevelandAVECORVALLIS      ,7503328.058,345592.6645
2855,Code3Med,2011-02-07,09:30:40,3300NEOXFORD                                           CIRCORVALLIS      ,7483392.903,388377.2616
2856,Code3Med,2011-02-07,10:15:44,30000TANGENT                                          DRAlbany,7475615.879,349806.5879
2857,Code3Med,2011-02-07,10:22:06,24700STOVALL                                          LNPhilomath,7517394.797,333085.8005
2858,Code3Med,2011-02-07,10:22:31,25000ORCHARD TRACT                                    RDMONROE         ,7502522.516,321267.34
2859,Code3Med,2011-02-07,10:25:27,1400SWALLEN                                            STCorvallis,7491435.219,363301.5645
2860,Code3Med,2011-02-07,11:14:05,3700NWOLEANDER                                         PLCORVALLIS      ,7470839.193,343977.0853
2861,Code3Med,2011-02-07,11:35:58,4700SWHollyhockCIRCorvallis,7504001.801,295838.3017
2862,Code3Med,2011-02-07,12:27:32,3500SWCountry ClubDRCorvallis,7475844.197,378689.3934
2863,Code3Med,2011-02-07,12:28:56,400NWELKS                                             DRCORVALLIS      ,7495918.938,390670.6082
2864,Code3Med,2011-02-07,12:37:02,700GrousePLPhilomath,7486360.99,350989.7718
2865,Code3Med,2011-02-07,13:44:56,100SEMAYBERRY                                         AVECORVALLIS      ,7506546.693,321000.0689
2866,Code3Med,2011-02-07,14:38:10,100NECONIFER                                          BLVDCORVALLIS      ,7498513.91,364699.696
2867,Code3Med,2011-02-07,14:41:09,4700SWHOLLYHOCK                                        CIRCORVALLIS      ,7495743.778,349790.8859
2868,Code3Med,2011-02-07,15:01:18,0HIGHWAY 34                                       RDAlbany,7508999.904,361081.0273
2869,Code3Med,2011-02-07,15:30:15,0NW4TH                                              STCORVALLIS      ,7483911.336,340136.098
2870,Code3Med,2011-02-07,15:43:24,0SW5TH                                              AVECORVALLIS      ,7473979.019,354094.2
2871,Code3Med,2011-02-07,16:35:03,3200SESUMMERFIELD                                      DRCORVALLIS      ,7506709.54,344888.7192
2872,Code3Med,2011-02-07,17:13:13,1000NECIRCLE                                           BLVDCorvallis,7522881.706,335396.4493
2873,Code3Med,2011-02-07,17:28:19,400NWELKS                                             DRCORVALLIS      ,7481366.663,356680.7643
2874,Code3Med,2011-02-07,17:28:27,3300NWPOPPY                                            DRCORVALLIS      ,7472136.559,317381.6747
2875,Code3Med,2011-02-07,17:42:48,1400APPLEGATE                                        STPHILOMATH      ,7501732.536,331367.1291
2876,Code3Med,2011-02-07,17:43:53,1900NW14TH                                             STCORVALLIS      ,7489102.793,339644.3774
2877,Code3Med,2011-02-07,17:46:48,6000NEELLIOTT                                          CIRCORVALLIS      ,7477993.21,309874.0159
2878,Code3Med,2011-02-07,18:01:40,25700ALPINE                                           RDALPINE         ,7494486.111,343421.1766
2879,Code3Med,2011-02-07,18:25:43,600KELLY                                            STMONROE         ,7516574.031,318769.1529
2880,Code3Med,2011-02-07,18:43:44,100W ALDER                                            STALSEA          ,7468422.481,401157.7041
2881,Code3Med,2011-02-07,18:56:32,2500NWGARRYANNA                                        DRCORVALLIS      ,7505414.083,326629.5147
2882,Code3Med,2011-02-07,18:58:12,3600NWSAMARITAN                                        DRCORVALLIS      ,7462598.723,363367.383
2883,Code3Med,2011-02-07,19:03:37,1500NW20TH                                             STCORVALLIS      ,7489094.264,345721.9834
2884,Code3Med,2011-02-07,19:06:27,900NWSYCAMORE                                         AVECORVALLIS      ,7496800.031,349456.8887
2885,Code3Med,2011-02-07,19:23:02,6700NWBURGUNDY                                         DRCorvallis,7480396.533,384159.2396
2886,Code3Med,2011-02-07,19:25:32,100SWPARK TERRACE                                     PLOSU            ,7485390.364,325307.2358
2887,MVA,2011-02-07,19:34:18,300NW35TH                                             STCORVALLIS      ,7494245.675,308820.9045
2888,Code3Med,2011-02-07,20:10:57,3700NWSAMARITAN                                        DRCORVALLIS      ,7509223.67,312671.434
2889,Code3Med,2011-02-07,20:12:48,7400NWMADRONE                                          WAYCorvallis,7483387.167,370030.0221
2890,MVA,2011-02-07,20:35:41,3600NWSAMARITAN                                        DRCORVALLIS      ,7501038.477,310867.5643
2891,MVA,2011-02-07,20:36:59,1700NWDIVISION                                         STCORVALLIS      ,7496211.741,311159.9798
2892,Code3Med,2011-02-07,20:46:21,2400NWGREEN                                            CIRCORVALLIS      ,7497497.674,335950.0655
2893,Code3Med,2011-02-07,21:20:22,5200SWPHILOMATH                                        BLVDCORVALLIS      ,7485112.748,316869.195
2894,Code3Med,2011-02-07,21:33:11,3000NWORCHARD                                          AVECORVALLIS      ,7493600.432,339950.0896
2895,Code3Med,2011-02-07,21:44:16,0NEHwy 99HWYCorvallis,7495795.624,339136.9493
2896,Code3Med,2011-02-07,21:46:31,4700SWHOLLYHOCK                                        CIRCORVALLIS      ,7488858.905,368443.1587
2897,Code3Med,2011-02-07,21:56:26,800NW23RD                                             STCORVALLIS      ,7508487.599,334769.2655
2898,Code3Med,2011-02-07,22:38:59,400NWELKS                                             DRCORVALLIS      ,7476785.415,335228.4986
2899,Code3Med,2011-02-07,23:18:52,0SW3RD                                              AVECORVALLIS      ,7492946.807,331027.1603
2900,Code3Med,2011-02-07,23:29:28,400NW17thSTCorvallis,7493332.429,350605.3467
2901,Code3Med,2011-02-08,00:28:52,400SWTUNISON                                          AVECORVALLIS      ,7495921.003,348897.0926
2902,Code3Med,2011-02-08,01:02:55,400SW30TH                                             STOSU            ,7498564.251,317107.2561
2903,Code3Med,2011-02-08,01:05:56,24700HIGHWAY 34                                       HWYPhilomath,7504736.779,337248.7539
2904,Code3Med,2011-02-08,01:34:06,3600NWSamaritanDRCorvallis,7493299.094,314337.8444
2905,Code3Med,2011-02-08,01:57:43,1600NWHILLCREST                                        DRCORVALLIS      ,7481367.471,358091.5214
2906,Code3Med,2011-02-08,02:01:53,2700NW9TH                                              STCORVALLIS      ,7500941.951,311123.4138
2907,Code3Med,2011-02-08,02:17:38,34000COLORADO LAKE                                    DRCorvallis,7471262.932,371418.2129
2908,Code3Med,2011-02-08,02:20:57,28200Hwy 34HWYCorvallis,7505149.017,322419.5277
2909,Code3Med,2011-02-08,02:44:28,3600NWSamaritanDRCorvallis,7495766.579,335458.5016
2910,Code3Med,2011-02-08,02:48:46,100SW2ndSTCorvallis,7519114.611,328461.4466
2911,Code3Med,2011-02-08,02:59:36,27200Old RiverRDCorvallis,7496052.199,332867.3739
2912,Code3Med,2011-02-08,03:25:16,200N 5TH                                              STMONROE         ,7472810.337,356720.4858
2913,Code3Med,2011-02-08,04:04:50,400NWELKS                                             DRCORVALLIS      ,7478748.33,342594.5782
2914,Code3Med,2011-02-08,04:07:44,37100SOAP CREEK                                       RDCorvallis,7494209.132,306825.9053
2915,Code3Med,2011-02-08,04:08:48,700NWLINDEN                                           AVECORVALLIS      ,7491056.24,333241.2368
2916,Code3Med,2011-02-08,04:48:31,2600NEJACK LONDON                                      STCORVALLIS      ,7493894.318,313659.7732
2917,Code3Med,2011-02-08,05:04:53,4700SWHOLLYHOCK                                        CIRCORVALLIS      ,7491709.723,334005.8079
2918,Code3Med,2011-02-08,05:10:11,0NWHIGHWAY 99W                                      AVECorvallis,7507697.674,375382.2523
2919,Code3Med,2011-02-08,05:22:10,1900NWSUNVIEW                                          DRCORVALLIS      ,7488941.461,333480.7341
2920,Code3Med,2011-02-08,05:22:54,4700SW47TH                                             PLCORVALLIS      ,7471382.532,358845.2705
2921,Code3Med,2011-02-08,05:24:06,900NWREIMAN                                           AVECORVALLIS      ,7497027.346,360441.6652
2922,Code3Med,2011-02-08,05:39:11,600SWMONROE                                           AVECORVALLIS      ,7511452.901,372064.6478
2923,Code3Med,2011-02-08,05:45:51,700APPLEGATE                                        STPHILOMATH      ,7500339.796,345392.3348
2924,Code3Med,2011-02-08,05:48:32,1400SWADAMS                                            AVEOSU            ,7516264.464,329389.0223
2925,Code3Med,2011-02-08,06:01:04,7200NWRAMONA                                           LNCORVALLIS      ,7502546.953,328278.9986
2926,Code3Med,2011-02-08,06:16:56,3600NWSAMARITAN                                        DRCORVALLIS      ,7468623.218,336156.7388
2927,Code3Med,2011-02-08,06:20:01,5200SWHILLVIEW                                         AVECORVALLIS      ,7464937.99,373381.2668
2928,Code3Med,2011-02-08,06:20:03,0SE3RD                                              STCORVALLIS      ,7502377.707,333998.3353
2929,Code3Med,2011-02-08,06:20:36,1800NWLocustSTCorvallis,7501472.704,337363.4556
2930,Code3Med,2011-02-08,06:38:49,2600NEJACK LONDON                                      STCORVALLIS      ,7496719.027,327311.2082
2931,Code3Med,2011-02-08,07:20:53,34400COLORADO LAKE                                    DRCorvallis,7507418.863,355644.0019
2932,Code3Med,2011-02-08,07:56:09,7100NWMOUNTAIN VIEW                                    DRCorvallis,7491988.879,332590.8155
2933,Code3Med,2011-02-08,07:59:34,1000NWVan BurenAVECorvallis,7458205.451,363011.6329
2934,Code3Med,2011-02-08,08:18:20,3300NEOXFORD                                           CIRCORVALLIS      ,7517017.25,340714.419
2935,Code3Med,2011-02-08,08:21:12,4200SW53RD                                             STCorvallis,7488753.359,354547.1534
2936,Code3Med,2011-02-08,08:42:22,5200NEWILLAMETTE                                       AVECorvallis,7509761.682,374259.0771
2937,Code3Med,2011-02-08,08:46:28,300S 5TH                                              STMONROE         ,7500278.169,350295.0642
2938,Code3Med,2011-02-08,08:54:49,4700SWHOLLYHOCK                                        CIRCORVALLIS      ,7493761.693,349586.6658
2939,Code3Med,2011-02-08,09:46:53,1600NWDIVISION                                         STCORVALLIS      ,7488505.785,341708.6255
2940,Code3Med,2011-02-08,09:53:32,2800NEWTON                                           STPHILOMATH      ,7484777.742,308184.7363
2941,Code3Med,2011-02-08,09:56:58,700NW18thSTCorvallis,7475364.794,367239.127
2942,Code3Med,2011-02-08,10:53:15,1700NWGRANT                                            AVECORVALLIS      ,7472525.24,364689.4021
2943,Code3Med,2011-02-08,11:32:18,1000NWCIRCLE                                           BLVDCORVALLIS      ,7488925.548,364323.9337
2944,Code3Med,2011-02-08,11:55:53,4700SWHollyhockCIRCorvallis,7508609.011,351297.2954
2945,MVA,2011-02-08,12:25:24,0NEHIGHWAY 99W                                      BLVDCorvallis,7531111.126,354365.0296
2946,Code3Med,2011-02-08,12:39:59,0SW3rdSTCORVALLIS      ,7489336.234,316099.966
2947,Code3Med,2011-02-08,12:42:18,3600NWSamaritanDRCorvallis,7496981.608,335865.7505
2948,MVA,2011-02-08,12:56:20,600SWMONROE                                           AVECORVALLIS      ,7498050.3,312566.0935
2949,Code3Med,2011-02-08,14:00:09,2000NWGRANT                                            AVECORVALLIS      ,7494055.969,358399.2718
2950,Code3Med,2011-02-08,14:00:41,0NWWithhan HillAVECORVALLIS      ,7480691.452,304407.7148
2951,Code3Med,2011-02-08,14:26:40,1100SWWest HillsPLCorvallis,7488073.805,353741.8708
2952,Code3Med,2011-02-08,14:47:47,1500NW12TH                                             STCORVALLIS      ,7484892.918,336643.4626
2953,Code3Med,2011-02-08,15:06:12,200NW9TH                                              STCORVALLIS      ,7476587.194,303690.6331
2954,Code3Med,2011-02-08,15:06:17,1600NWDIXON                                            STCORVALLIS      ,7502432.722,415225.4773
2955,MVA,2011-02-08,15:18:24,32500OAKVILLE                                         RDAlbany,7493525.796,301713.491
2956,Code3Med,2011-02-08,15:20:54,200NECONIFER                                          BLVDCORVALLIS      ,7512441.869,313904.1949
2957,Code3Med,2011-02-08,15:32:55,0NWGARFIELD                                         STCORVALLIS      ,7493002.349,315203.7867
2958,Code3Med,2011-02-08,15:36:44,3300NWLYNWOOD                                          CIRCORVALLIS      ,7487528.306,358381.1928
2959,Code3Med,2011-02-08,15:43:43,33400PEORIA                                           RDCorvallis,7487386.737,320396.5466
2960,Code3Med,2011-02-08,15:51:11,900NWTYLER                                            AVECORVALLIS      ,7502136.242,353669.9774
2961,Code3Med,2011-02-08,16:19:55,400NWPONDEROSA                                        AVECORVALLIS      ,7501154.559,321021.2509
2962,Code3Med,2011-02-08,17:01:29,400SW26TH                                             STOSU            ,7486533.591,322964.9532
2963,Code3Med,2011-02-08,17:01:54,2100NWWOODLAND                                         DRCORVALLIS      ,7501372.225,319554.7451
2964,Code3Med,2011-02-08,17:24:22,2900SEPARK                                             PLCORVALLIS      ,7486010.766,326859.2247
2965,Code3Med,2011-02-08,17:31:02,200NECONIFER                                          BLVDCORVALLIS      ,7511316.728,353217.9408
2966,Code3Med,2011-02-08,17:40:48,1900NWHIGHLAND                                         DRCORVALLIS      ,7488671.403,317832.8656
2967,Code3Med,2011-02-08,17:45:14,3200NELANCASTER                                        STCORVALLIS      ,7489766.976,325276.1084
2968,Code3Med,2011-02-08,18:10:27,500NWLEWISBURG                                        AVECorvallis,7483301.22,313320.2205
2969,Code3Med,2011-02-08,18:10:59,2200NWKLEINSCHMIDT                                     PLCORVALLIS      ,7492322.47,340011.8571
2970,Code3Med,2011-02-08,18:34:44,5200SWPHILOMATH                                        BLVDCORVALLIS      ,7500650.392,326876.704
2971,Code3Med,2011-02-08,19:07:56,2900NWROLLING GREEN                                    DRCORVALLIS      ,7496035.395,366715.1524
2972,Code3Med,2011-02-08,19:44:01,500NWWALNUT                                           BLVDCORVALLIS      ,7485843.664,345043.3466
2973,Code3Med,2011-02-08,19:46:20,200NW4TH                                              STCORVALLIS      ,7512903.427,331285.2954
2974,Code3Med,2011-02-08,20:03:34,34400Colorado LakeDRCorvallis,7508594.79,359563.7621
2975,Code3Med,2011-02-08,20:47:16,400NWELKS                                             DRCORVALLIS      ,7466056.128,303192.8252
2976,Code3Med,2011-02-08,20:49:51,3700NWSAMARITAN                                        DRCORVALLIS      ,7487998.093,327546.7113
2977,Code3Med,2011-02-08,21:40:05,400NWELKS                                             DRCORVALLIS      ,7470181.69,293599.791
2978,Code3Med,2011-02-08,21:52:03,2000SWWESTERN                                          BLVDOSU            ,7489300.51,360884.5302
2979,Code3Med,2011-02-08,21:58:31,3000NWGLENRIDGE                                        DRCORVALLIS      ,7473031.799,363256.9027
2980,Code3Med,2011-02-08,22:01:40,200NECONIFER                                          BLVDCORVALLIS      ,7483392.691,363244.9541
2981,Code3Med,2011-02-08,22:15:36,25600BELLFOUNTAIN                                     RDMonroe,7497482.28,332875.5554
2982,Code3Med,2011-02-08,22:37:44,3500NWSAMARITAN                                        DRCORVALLIS      ,7494390.304,316925.9005
2983,Code3Med,2011-02-08,22:44:00,5200SWPHILOMATH                                        BLVDCORVALLIS      ,7499041.703,373659.1181
2984,Code3Med,2011-02-08,23:16:29,400SW26TH                                             STOSU            ,7481276.821,359218.5689
2985,Code3Med,2011-02-08,23:29:58,29500HIGHWAY 34                                       DRCorvallis,7497947.424,328319.0714
2986,Code3Med,2011-02-08,23:40:19,2100NWHAYES                                            AVECORVALLIS      ,7507302.139,335219.564
2987,MVA,2011-02-08,23:41:22,3600NWSAMARITAN                                        DRCORVALLIS      ,7524161.123,357486.6462
2988,Code3Med,2011-02-08,23:53:40,26700CEMETERY                                         RDMONROE         ,7489279.483,329012.707
2989,Code3Med,2011-02-08,23:55:45,5500NEHIGHWAY 20                                       HWYCorvallis,7514945.69,348622.0328
2990,Code3Med,2011-02-09,00:10:36,300NECIRCLE                                           BLVDCORVALLIS      ,7499575.883,345234.9378
2991,Code3Med,2011-02-09,00:19:05,800NW23rdSTCorvallis,7481195.619,357955.0457
2992,Code3Med,2011-02-09,00:20:20,0NEHwy 20HWYCorvallis,7502849.137,327697.1343
2993,Code3Med,2011-02-09,00:38:09,6500SWPhilomathBLVDCorvallis,7502050.568,342772.5639
2994,Code3Med,2011-02-09,01:16:18,0NWHarrisonBLVDCorvallis,7511839.826,378738.7406
2995,Code3Med,2011-02-09,01:19:51,400NWELKS                                             DRCORVALLIS      ,7495264.055,355259.3919
2996,Code3Med,2011-02-09,01:47:13,200NECONIFER                                          BLVDCORVALLIS      ,7498718.504,316467.9232
2997,Code3Med,2011-02-09,02:03:54,4400NWHoneysuckleDRCorvallis,7484478.826,313307.8625
2998,Code3Med,2011-02-09,02:26:11,3500NWSAMARITAN                                        DRCORVALLIS      ,7506878.08,315944.1191
2999,Code3Med,2011-02-09,02:29:35,2600NEJACK LONDON                                      STCORVALLIS      ,7495869.151,315797.9955
3000,Code3Med,2011-02-09,02:40:55,2600NW9TH                                              STCORVALLIS      ,7492016.547,331558.3156
3001,Code3Med,2011-02-09,03:34:52,0NW6thSTCorvallis,7502547.429,322665.349
3002,Code3Med,2011-02-09,04:08:54,200NW25THSTCorvallis,7507178.959,327674.3723
3003,Code3Med,2011-02-09,04:10:16,1000NW23RD                                             STCORVALLIS      ,7506646.136,349801.0059
3004,Code3Med,2011-02-09,04:18:43,0NW15TH                                             AVECORVALLIS      ,7506834.974,352153.1532
3005,MVA,2011-02-09,04:20:18,200NW9thSTCorvallis,7520179.101,353428.4868
3006,Code3Med,2011-02-09,04:23:42,23900Hwy 34HWYPhilomath,7497341.91,330818.0343
3007,Code3Med,2011-02-09,04:24:25,100NW9TH                                              STCORVALLIS      ,7505700.959,335517.8738
3008,Code3Med,2011-02-09,04:34:33,1200NWCLEVELAND                                        AVECORVALLIS      ,7487870.863,332486.6532
3009,Code3Med,2011-02-09,04:35:57,1700MCBEE                                            RDPHILOMATH      ,7517089.174,328345.904
3010,Code3Med,2011-02-09,06:12:16,4900SWHOLLYHOCK                                        CIRCORVALLIS      ,7499409.699,342643.162
3011,Code3Med,2011-02-09,06:36:25,200NECONIFER                                          BLVDCORVALLIS      ,7498458.204,319453.2037
3012,Code3Med,2011-02-09,07:38:01,3300SOUTHWOOD                                        DRPHILOMATH      ,7497314.781,294754.2478
3013,Code3Med,2011-02-09,07:44:54,300NW21stSTCorvallis,7478952.609,342595.7625
3014,Code3Med,2011-02-09,07:46:02,4500NEHIGHWAY 20                                       HWYCORVALLIS      ,7493805.339,359313.7996
3015,Code3Med,2011-02-09,07:54:49,0TANGENT                                          RDAlbany,7460168.871,355038.939
3016,Code3Med,2011-02-09,07:59:21,800NW9TH                                              STCORVALLIS      ,7479497.019,356871.6574
3017,Code3Med,2011-02-09,08:22:28,29500WeslinnDRCorvallis,7509696.509,343313.9228
3018,Code3Med,2011-02-09,08:24:36,200NECONIFER                                          BLVDCORVALLIS      ,7491972.969,310609.9519
3019,Code3Med,2011-02-09,08:36:04,600NW2ND                                              STCORVALLIS      ,7477247.078,353551.4331
3020,Code3Med,2011-02-09,09:00:52,2700NWHIGHLAND                                         DRCORVALLIS      ,7501207.903,342191.1737
3021,Code3Med,2011-02-09,09:08:52,400NWMAXINE                                           AVECORVALLIS      ,7511986.558,379591.6646
3022,Code3Med,2011-02-09,09:20:09,200NECONIFER                                          BLVDCORVALLIS      ,7494426.124,349432.996
3023,Code3Med,2011-02-09,09:35:54,900SEBRIDGEWAY                                        AVECORVALLIS      ,7457205.286,312928.7604
3024,Code3Med,2011-02-09,09:37:20,5100NEELLIOTT                                          CIRcorvallis,7501207.473,348118.2114
3025,Code3Med,2011-02-09,09:50:55,2700SW3rdSTCorvallis,7504757.654,339858.5844
3026,Code3Med,2011-02-09,09:56:31,8000NEBARBERRY                                         DRADAIR          ,7486542.014,331491.353
3027,Code3Med,2011-02-09,10:08:16,3600NWSAMARITAN                                        DRCORVALLIS      ,7469261.639,328291.7779
3028,Code3Med,2011-02-09,10:13:12,600NWJacksonAVECorvallis,7505202.025,321449.4269
3029,Code3Med,2011-02-09,10:15:13,500SWMonroeAVECorvallis,7473796.209,340309.3416
3030,Code3Med,2011-02-09,10:17:29,3600NWSAMARITAN                                        DRCORVALLIS      ,7488573.71,359268.8422
3031,Code3Med,2011-02-09,10:46:19,0NW6thSTCorvallis,7463445.895,363914.2196
3032,Code3Med,2011-02-09,11:41:42,4700SWHollyHockCIRCorvallis,7497761.121,342179.2202
3033,Code3Med,2011-02-09,12:13:33,29200HIGHWAY 34                                       HWYCorvallis,7473852.056,381089.9913
3034,Code3Med,2011-02-09,12:23:54,3800NWLINCOLN                                          AVECORVALLIS      ,7475965.523,334933.7418
3035,Code3Med,2011-02-09,12:38:10,2900NWROOSEVELT                                        DRCORVALLIS      ,7487218.581,316660.9135
3036,Code3Med,2011-02-09,13:16:18,300NW9TH                                              STCORVALLIS      ,7464245.042,327731.1609
3037,Code3Med,2011-02-09,13:21:11,1700NW13TH                                             STCORVALLIS      ,7501972.864,363128.2747
3038,Code3Med,2011-02-09,13:35:10,15thSW WashingtonWAYCORVALLIS      ,7503337.231,316415.4765
3039,Code3Med,2011-02-09,13:38:59,6100NEEBONY                                            LNADAIR          ,7489486.2,361832.7208
3040,Code3Med,2011-02-09,13:57:51,500SW3rdSTCorvallis,7502263.124,318105.0493
3041,Code3Med,2011-02-09,13:59:41,800NW23RD                                             STCORVALLIS      ,7481472.175,318010.2129
3042,Code3Med,2011-02-09,14:15:02,29900Hwy 34HWYCorvallis,7473262.948,332265.4994
3043,Code3Med,2011-02-09,14:40:48,0FAYETTEVILLE                                     RDHalsey,7474456.667,350017.8996
3044,Code3Med,2011-02-09,15:07:25,3600NWSAMARITAN                                        DRCORVALLIS      ,7477714.684,369142.8979
3045,Code3Med,2011-02-09,16:18:43,1500SWASTCorvallis,7495860.999,327590.907
3046,Code3Med,2011-02-09,17:17:37,3600NWSAMARITAN                                        DRCORVALLIS      ,7479958.34,317985.529
3047,Code3Med,2011-02-09,17:38:57,5900SWQUIET CREEK                                      DRCORVALLIS      ,7504596.582,343725.1796
3048,Code3Med,2011-02-09,17:57:01,3700NWSAMARITAN                                        DRCORVALLIS      ,7476543.665,277907.4226
3049,Code3Med,2011-02-09,18:05:00,4700SWHOLLYHOCK                                        CIRCORVALLIS      ,7471050.214,324649.2523
3050,Code3Med,2011-02-09,18:05:53,27400STOW PIT                                         RDMonroe,7479006.491,342001.5744
3051,Code3Med,2011-02-09,18:35:08,600SWMADISON                                          AVECORVALLIS      ,7495407.466,341993.8859
3052,MVA,2011-02-09,18:46:08,400SW26TH                                             STOSU            ,7519252.592,356883.5649
3053,Code3Med,2011-02-09,18:52:44,0NW9TH                                              AVECORVALLIS      ,7491294.842,342949.2218
3054,Code3Med,2011-02-09,19:12:35,800SWC                                                AVECORVALLIS      ,7494502.655,339424.3478
3055,Code3Med,2011-02-09,19:15:13,3600NWSAMARITAN                                        DRCORVALLIS      ,7480897.278,363594.3285
3056,Code3Med,2011-02-09,19:29:02,2200NWVAN BUREN                                        AVECORVALLIS      ,7496707.364,374092.0478
3057,Code3Med,2011-02-09,19:30:34,2500SWCAMPUS                                           WAYOSU            ,7502295.224,327801.9134
3058,Code3Med,2011-02-09,19:44:59,1700NWDIVISION                                         STCORVALLIS      ,7490592.349,312066.7481
3059,Code3Med,2011-02-09,20:02:16,28300IRISH BEND                                       RDMONROE         ,7496097.292,339651.4625
3060,Code3Med,2011-02-09,20:03:38,1700NWDIVISION                                         STCORVALLIS      ,7479783.474,361361.4816
3061,Code3Med,2011-02-09,20:18:34,2900NW29TH                                             STCORVALLIS      ,7497959.585,307552.5027
3062,MVA,2011-02-09,20:29:53,5500NWOAK CREEK                                        DRCorvallis,7523579.602,343684.3624
3063,Code3Med,2011-02-09,20:57:34,1700MAPLE                                            STPHILOMATH      ,7490054.094,339568.2724
3064,Code3Med,2011-02-09,21:01:55,2200NWMULKEY                                           AVECORVALLIS      ,7495860.127,358489.6795
3065,Code3Med,2011-02-09,21:05:37,700NW5TH                                              STCORVALLIS      ,7491991.245,332598.0975
3066,Code3Med,2011-02-09,21:09:50,100NW14TH                                             STCORVALLIS      ,7492510.302,344030.771
